trait,support,winning_member,winning_member_rate,second_best_rate,separation_gap,rate_0025,rate_0225,rate_0255
sum=25,10,0255,0.7,0.2,0.49999999999999994,0.2,0.1,0.7
first2=09,6,0255,0.6666666666666666,0.16666666666666666,0.5,0.16666666666666666,0.16666666666666666,0.6666666666666666
first2=52,6,0225,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333
first2=85,6,0025,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.0
spread=2,10,0255,0.6,0.2,0.39999999999999997,0.2,0.2,0.6
parity_pattern=OOEO,19,0255,0.5789473684210527,0.2631578947368421,0.31578947368421056,0.15789473684210525,0.2631578947368421,0.5789473684210527
last2=17,7,0025,0.5714285714285714,0.2857142857142857,0.2857142857142857,0.5714285714285714,0.14285714285714285,0.2857142857142857
last2=71,7,0025,0.5714285714285714,0.2857142857142857,0.2857142857142857,0.5714285714285714,0.14285714285714285,0.2857142857142857
sum=21,16,0025,0.5625,0.25,0.3125,0.5625,0.1875,0.25
even=0,16,0255,0.5625,0.4375,0.125,0.4375,0.0,0.5625
odd=4,16,0255,0.5625,0.4375,0.125,0.4375,0.0,0.5625
parity_pattern=OOOO,16,0255,0.5625,0.4375,0.125,0.4375,0.0,0.5625
even=4,18,0025,0.5555555555555556,0.2222222222222222,0.33333333333333337,0.5555555555555556,0.2222222222222222,0.2222222222222222
odd=0,18,0025,0.5555555555555556,0.2222222222222222,0.33333333333333337,0.5555555555555556,0.2222222222222222,0.2222222222222222
parity_pattern=EEEE,18,0025,0.5555555555555556,0.2222222222222222,0.33333333333333337,0.5555555555555556,0.2222222222222222,0.2222222222222222
cnt7=2,18,0025,0.5555555555555556,0.2777777777777778,0.2777777777777778,0.5555555555555556,0.16666666666666666,0.2777777777777778
sum=20,20,0025,0.55,0.35,0.20000000000000007,0.55,0.1,0.35
