trait,support_top2_needed,hit_event_support,top2_needed_rate
highlow_pattern=LHLL,10,17,0.5882352941176471
pos1=9,11,22,0.5
cnt5=2,6,12,0.5
pos2=5,12,27,0.4444444444444444
sum=21,7,16,0.4375
parity_pattern=OOEE,7,17,0.4117647058823529
spread=9,11,27,0.4074074074074074
cnt9=2,8,20,0.4
pos4=2,8,21,0.38095238095238093
pos4=5,11,29,0.3793103448275862
even=0,6,16,0.375
odd=4,6,16,0.375
parity_pattern=OOOO,6,16,0.375
pos1=7,12,33,0.36363636363636365
high=4,6,17,0.35294117647058826
low=0,6,17,0.35294117647058826
highlow_pattern=HHHH,6,17,0.35294117647058826
sum_mod4=2,26,74,0.35135135135135137
parity_pattern=EEOO,7,20,0.35
parity_pattern=EOEO,7,20,0.35
highlow_pattern=HLLH,8,23,0.34782608695652173
pos4=8,9,26,0.34615384615384615
pos3=4,11,32,0.34375
consec_links=0,33,99,0.3333333333333333
pos2=6,11,33,0.3333333333333333
pos2=8,10,30,0.3333333333333333
pos3=6,9,27,0.3333333333333333
pos3=9,9,27,0.3333333333333333
sum=17,7,21,0.3333333333333333
even=4,6,18,0.3333333333333333
odd=0,6,18,0.3333333333333333
parity_pattern=EEEE,6,18,0.3333333333333333
highlow_pattern=HHLL,6,18,0.3333333333333333
sum_mod3=0,28,85,0.32941176470588235
sum_mod5=2,20,62,0.3225806451612903
pos2=4,10,31,0.3225806451612903
unique=2,8,25,0.32
cnt7=1,29,91,0.31868131868131866
parity_pattern=OEEE,7,22,0.3181818181818182
pos3=0,12,38,0.3157894736842105
cnt1=2,6,19,0.3157894736842105
pos3=1,11,35,0.3142857142857143
has2=0,65,210,0.30952380952380953
cnt2=0,65,210,0.30952380952380953
has9=1,28,91,0.3076923076923077
high=3,24,78,0.3076923076923077
low=1,24,78,0.3076923076923077
cnt0=1,28,92,0.30434782608695654
sum_mod5=4,15,50,0.3
pos1=4,9,30,0.3
even=2,34,114,0.2982456140350877
odd=2,34,114,0.2982456140350877
cnt8=1,27,91,0.2967032967032967
has8=1,32,108,0.2962962962962963
highlow_pattern=HHLH,8,27,0.2962962962962963
has1=0,59,201,0.2935323383084577
cnt1=0,59,201,0.2935323383084577
cnt4=1,26,89,0.29213483146067415
pos2=7,9,31,0.2903225806451613
has4=1,31,107,0.2897196261682243
has0=1,33,114,0.2894736842105263
pos1=8,11,38,0.2894736842105263
has7=1,32,111,0.2882882882882883
sum_mod4=1,22,77,0.2857142857142857
cnt9=1,20,70,0.2857142857142857
pos2=3,8,28,0.2857142857142857
pos4=3,8,28,0.2857142857142857
sum=18,6,21,0.2857142857142857
sum_mod5=1,17,60,0.2833333333333333
max_rep=2,43,152,0.28289473684210525
spread=6,13,46,0.2826086956521739
pair=1,47,167,0.281437125748503
pos1=0,9,32,0.28125
has3=0,59,211,0.2796208530805687
cnt3=0,59,211,0.2796208530805687
unique=3,39,142,0.2746478873239437
has5=0,57,208,0.27403846153846156
cnt5=0,57,208,0.27403846153846156
has6=0,56,205,0.2731707317073171
cnt6=0,56,205,0.2731707317073171
pos4=9,9,33,0.2727272727272727
sum=22,6,22,0.2727272727272727
spread=7,16,59,0.2711864406779661
has6=1,29,107,0.27102803738317754
sum_mod4=0,20,74,0.2702702702702703
has5=1,28,104,0.2692307692307692
parity_pattern=EEEO,7,26,0.2692307692307692
cnt6=1,25,94,0.26595744680851063
sum_mod5=0,17,64,0.265625
consec_links=1,43,162,0.2654320987654321
pos3=3,9,34,0.2647058823529412
pos4=0,9,34,0.2647058823529412
has7=0,53,201,0.263681592039801
cnt7=0,53,201,0.263681592039801
has4=0,54,205,0.2634146341463415
cnt4=0,54,205,0.2634146341463415
high=1,20,76,0.2631578947368421
low=3,20,76,0.2631578947368421
has0=0,52,198,0.26262626262626265
cnt0=0,52,198,0.26262626262626265
unique=4,38,145,0.2620689655172414
pair=0,38,145,0.2620689655172414
max_rep=1,38,145,0.2620689655172414
parity_pattern=OEOO,6,23,0.2608695652173913
highlow_pattern=LHHH,6,23,0.2608695652173913
sum_mod3=1,31,119,0.2605042016806723
has8=0,53,204,0.25980392156862747
cnt8=0,53,204,0.25980392156862747
high=2,30,116,0.25862068965517243
low=2,30,116,0.25862068965517243
spread=5,15,58,0.25862068965517243
has9=0,57,221,0.2579185520361991
cnt9=0,57,221,0.2579185520361991
has3=1,26,101,0.25742574257425743
cnt3=1,21,83,0.25301204819277107
spread=8,11,44,0.25
pos1=1,8,32,0.25
pos2=0,8,32,0.25
pos4=6,7,28,0.25
sum_mod3=2,26,108,0.24074074074074073
cnt5=1,22,92,0.2391304347826087
even=3,20,84,0.23809523809523808
odd=1,20,84,0.23809523809523808
even=1,19,80,0.2375
odd=3,19,80,0.2375
pos4=1,8,34,0.23529411764705882
has1=1,26,111,0.23423423423423423
pos1=2,6,26,0.23076923076923078
pos2=9,7,31,0.22580645161290322
pos3=8,7,32,0.21875
cnt1=1,20,92,0.21739130434782608
sum_mod5=3,16,76,0.21052631578947367
pos3=5,6,29,0.20689655172413793
pos1=3,7,34,0.20588235294117646
pos1=6,7,34,0.20588235294117646
spread=4,8,39,0.20512820512820512
pos4=7,9,44,0.20454545454545456
pos4=4,7,35,0.2
