trait,support_top2_needed,preferred_support_met,hit_event_support,top2_needed_rate,stream_count,month_count
max_rep=2,43,1,152,0.28289473684210525,29,26
has1=0,56,1,201,0.27860696517412936,39,33
cnt1=0,56,1,201,0.27860696517412936,39,33
has2=0,58,1,210,0.2761904761904762,41,30
cnt2=0,58,1,210,0.2761904761904762,41,30
pair=1,46,1,167,0.2754491017964072,30,27
has8=0,55,1,204,0.2696078431372549,40,30
cnt8=0,55,1,204,0.2696078431372549,40,30
has3=0,56,1,211,0.26540284360189575,41,31
cnt3=0,56,1,211,0.26540284360189575,41,31
has7=0,53,1,201,0.263681592039801,37,30
cnt7=0,53,1,201,0.263681592039801,37,30
has4=0,52,1,205,0.25365853658536586,36,30
cnt4=0,52,1,205,0.25365853658536586,36,30
high=3,26,0,78,0.3333333333333333,22,20
low=1,26,0,78,0.3333333333333333,22,20
consec_links=0,31,0,99,0.31313131313131315,23,25
has6=1,33,0,107,0.308411214953271,29,22
spread_bucket=spread_5_6,32,0,104,0.3076923076923077,26,24
cnt6=1,28,0,94,0.2978723404255319,25,20
cnt0=1,27,0,92,0.29347826086956524,25,20
has0=1,32,0,114,0.2807017543859649,27,23
has5=1,29,0,104,0.27884615384615385,24,21
has9=1,25,0,91,0.27472527472527475,23,19
unique=3,39,0,142,0.2746478873239437,28,25
structure=AABC,39,0,142,0.2746478873239437,28,25
even=2,31,0,114,0.2719298245614035,23,21
odd=2,31,0,114,0.2719298245614035,23,21
has4=1,27,0,107,0.2523364485981308,24,20
