PrevSeed,WinningMember,PlayDate,StreamKey,event_id,seed_date,Top1,Top2,Top3,play_mode,play_reason,ratio,gap,blended_alignment_ratio,boost_gap_top12,exclusivity_strength,dominance_state,build_marker
2572,0255,2023-02-27,Wisconsin|Pick 4 Evening,2285,2023-02-26,25,255,225,PLAY_TOP1,Validated dominant Top1 | 0025-specific Top1 gate passed,0.1637618190146816,1.7397114000738487,1.0,1.710355696166313,0.35,DOMINANT,core025_separator_engine_plus_lab_walkforward__2026-04-06_v19_trait_based_top1_conversion_expanded_locked
7036,0255,2023-02-28,Connecticut|Play 4 Day,2291,2023-02-27,25,255,225,PLAY_TOP1,Validated dominant Top1 | 0025-specific Top1 gate passed,0.6972913292609814,0.7175784418894786,0.66235094446735,0.6498594017173647,0.35,DOMINANT,core025_separator_engine_plus_lab_walkforward__2026-04-06_v19_trait_based_top1_conversion_expanded_locked
4419,0255,2023-03-06,Louisiana|Pick 4,2752,2023-03-05,225,255,25,PLAY_TOP1,Validated dominant Top1 | 0225-specific Top1 gate passed,0.6828868307284965,0.8036358030868955,0.6751123640282727,0.6178772644386559,0.2835754528877311,DOMINANT,core025_separator_engine_plus_lab_walkforward__2026-04-06_v19_trait_based_top1_conversion_expanded_locked
4344,0025,2023-03-11,Illinois|Pick 4 Midday,3124,2023-03-10,255,25,225,PLAY_TOP1,Validated dominant Top1 | 0255-specific Top1 gate passed,0.1247222272664018,3.0110693617042754,1.0,1.7928159282929732,0.35,DOMINANT,core025_separator_engine_plus_lab_walkforward__2026-04-06_v19_trait_based_top1_conversion_expanded_locked
0901,0255,2023-03-19,Ontario|Pick 4 Midday,3747,2023-03-18,225,255,25,PLAY_TOP1,Validated dominant Top1 | 0225-specific Top1 gate passed,0.59997698765126,1.0014367612786108,0.6823627768360361,1.015351930868431,0.35,DOMINANT,core025_separator_engine_plus_lab_walkforward__2026-04-06_v19_trait_based_top1_conversion_expanded_locked
6205,0255,2023-03-26,Ohio|Pick 4 Midday,4263,2023-03-25,225,255,25,PLAY_TOP1,Validated dominant Top1 | 0225-specific Top1 gate passed,0.6589884625987052,0.8170826491243706,0.6689750448419212,0.7850856125255732,0.35,DOMINANT,core025_separator_engine_plus_lab_walkforward__2026-04-06_v19_trait_based_top1_conversion_expanded_locked
4067,0025,2023-04-07,North Carolina|Pick 4 Daytime,5147,2023-04-06,225,255,25,PLAY_TOP2,Top1 blocked by member-specific gate | 0225-specific Top1 gate failed,0.8951333619330999,0.217158705874912,0.6563032279059803,0.0979432789660295,0.0195886557932059,WEAK,core025_separator_engine_plus_lab_walkforward__2026-04-06_v19_trait_based_top1_conversion_expanded_locked
6132,0255,2023-05-21,Oregon|Pick 4 10pm,8411,2023-05-20,225,255,25,PLAY_TOP1,Validated dominant Top1 | 0225-specific Top1 gate passed,0.2117117393630286,1.9066989648474115,1.0,2.1295501074195484,0.35,DOMINANT,core025_separator_engine_plus_lab_walkforward__2026-04-06_v19_trait_based_top1_conversion_expanded_locked
0922,0255,2023-05-28,Kentucky|Pick 4 Evening,8905,2023-05-27,225,255,25,PLAY_TOP1,Validated dominant Top1 | 0225-specific Top1 gate passed,0.6414037748341888,0.863666664641221,0.6737671407255492,0.857168882581365,0.35,DOMINANT,core025_separator_engine_plus_lab_walkforward__2026-04-06_v19_trait_based_top1_conversion_expanded_locked
7484,0255,2023-06-01,Illinois|Pick 4 Evening,9192,2023-05-31,25,255,225,PLAY_TOP1,Member-specific Top1 promotion,0.8060722392753659,0.3868977197513157,0.6602013958824696,0.6762713336135147,0.35,WEAK,core025_separator_engine_plus_lab_walkforward__2026-04-06_v19_trait_based_top1_conversion_expanded_locked
8789,0225,2023-06-12,Oregon|Pick 4 10pm,10033,2023-06-11,255,225,25,PLAY_TOP1,Validated dominant Top1 | 0255-specific Top1 gate passed,0.4828384270510962,1.8734359700781624,0.601498936877233,0.4698492311928468,0.2539698462385694,DOMINANT,core025_separator_engine_plus_lab_walkforward__2026-04-06_v19_trait_based_top1_conversion_expanded_locked
6842,0255,2023-06-28,Missouri|Pick 4 Midday,11211,2023-06-27,25,225,255,PLAY_TOP1,Validated dominant Top1 | 0025-specific Top1 gate passed,0.5862224619869741,0.8576616963516841,0.7626430112118769,1.1484715465961624,0.35,DOMINANT,core025_separator_engine_plus_lab_walkforward__2026-04-06_v19_trait_based_top1_conversion_expanded_locked
